,Predictions,Actual
0,-0.75794387,-1.6120651
1,-0.9631764,-1.8256505
2,-0.99497527,-1.7544553
3,-0.99916977,-1.4696748
4,-0.9998841,-1.6120651
5,-0.9995035,-1.2560894
6,-0.99889714,-1.3984797
7,-0.99815255,-1.4696748
8,-0.9999548,-2.181626
9,-0.9999863,-1.7544553
10,-0.99998593,-1.1848943
11,-0.97616446,-1.8968456
12,-0.9999896,-1.9680408
13,-0.99995255,-0.9713089
14,-0.90421766,-1.6832602
15,-0.9999614,-2.9647727
16,-0.99994016,-2.537602
17,-0.9999981,-1.6832602
18,-0.99928576,-0.6153332
19,-0.76820445,-0.40174782
20,-0.8596608,-0.6153332
21,-0.26798552,-0.9713089
22,-0.9828979,-0.9713089
23,-0.99235123,-0.9713089
24,-0.9992724,-1.3272846
25,-0.99945325,-1.0425041
26,-0.8855642,-1.1848943
27,-0.99743456,-1.1848943
28,-0.99784064,-0.82891864
29,-0.62625265,-0.47294295
30,-0.89463305,-1.3984797
31,-0.9997718,-1.1848943
32,-0.9993666,-2.0392358
33,-0.9999958,-2.6799922
34,-0.9999778,-1.6120651
35,-0.9999201,-0.7577235
36,-0.8312167,-1.6832602
37,-0.9999685,-2.6799922
38,-0.99993896,-2.3240163
39,-0.9999975,-1.6120651
40,-0.99879396,-0.18816242
41,-0.73522,-0.3305527
42,-0.9776184,-1.8256505
43,-0.9999317,-2.181626
44,-0.9999908,-1.2560894
45,-0.9959454,-2.181626
46,-0.99999344,-2.9647727
47,-0.9999747,-2.608797
48,-0.9999982,-1.3984797
49,-0.9949963,-0.82891864
50,-0.76850045,-1.6120651
51,-0.9999831,-2.537602
52,-0.9999461,-1.8256505
53,-0.9999901,-1.3984797
54,-0.9726217,-0.25935757
55,-0.28077683,-0.82891864
56,-0.373535,-0.18816242
57,-0.6513854,-0.045772154
58,-0.09898251,-0.11696729
59,-0.0824669,0.16781324
60,-0.041486576,-0.045772154
61,-0.84231335,-0.9713089
62,-0.9999393,-0.5441381
63,-0.006925327,0.23900838
64,-0.3156204,-0.3305527
65,-0.22349629,-0.6153332
66,-0.9994106,-1.8968456
67,-0.9997681,-1.8256505
68,-0.99999297,-0.6153332
69,-0.07638094,-0.18816242
70,-0.8949055,-1.3984797
71,-0.9999449,-2.4664068
72,-0.9999472,-2.181626
73,-0.99999535,-1.7544553
74,-0.99954176,-1.1848943
75,-0.9862801,-1.2560894
76,-0.9977164,-1.3272846
77,-0.99620336,-1.54087
78,-0.9999908,-0.6865284
79,-0.44657224,-0.045772154
80,-0.80163044,-0.7577235
81,-0.9992913,-1.3272846
82,-0.9997757,-0.6153332
83,-0.28453445,-0.18816242
84,-0.9317672,-1.0425041
85,-0.99967813,-1.1136992
86,-0.9994485,-0.40174782
87,-0.3891885,-0.6153332
88,-0.96851724,-0.82891864
89,-0.33244622,-0.25935757
90,-0.11305392,-0.11696729
91,-0.75872993,-1.1848943
92,-0.9998061,-0.90011376
93,-0.99025995,-0.9713089
94,-0.69384253,-0.7577235
95,-0.21674031,0.09661811
96,-0.010340208,0.38139865
97,-0.14882402,-0.47294295
98,-0.34697586,-0.6153332
99,-0.20104809,0.16781324
100,-0.014162569,0.38139865
101,-0.040120117,0.38139865
102,-0.13392873,0.45259377
103,-0.33244658,-0.47294295
104,-0.72568476,-0.7577235
105,-0.8182741,-0.9713089
106,-0.5080784,-0.6153332
107,-0.12769377,-0.47294295
108,-0.28432956,-0.40174782
109,-0.06759245,0.09661811
110,-0.006423191,0.16781324
111,-0.071679264,0.31020352
112,-0.027283046,0.16781324
113,-0.70468855,-0.90011376
114,-0.955983,-1.3272846
115,-0.99144316,-0.9713089
116,-0.62780845,-0.6153332
117,-0.02720961,-0.11696729
118,-0.30923572,-0.3305527
119,-0.19961852,-0.18816242
120,-0.006648421,0.23900838
121,-0.000220219,0.31020352
122,0.020697376,0.16781324
123,0.16435766,0.5237889
124,0.5119436,0.38139865
125,0.18273519,0.45259377
126,0.2993615,1.0221548
127,0.66950405,0.6661792
128,0.20455976,0.09661811
129,-0.19567204,-0.3305527
130,-0.07698736,-0.40174782
131,0.000368941,-0.045772154
132,0.064620614,0.38139865
133,0.34647605,0.38139865
134,0.21554631,0.38139865
135,0.35703513,0.38139865
136,0.3037797,0.59498405
137,0.43635595,0.59498405
138,0.21954566,0.38139865
139,0.4624699,0.38139865
140,0.8139292,0.87976456
141,0.41456962,0.09661811
142,-0.3712553,-0.6865284
143,-0.09825848,-0.47294295
144,-0.10537158,-0.40174782
145,-0.00465849,0.23900838
146,-0.03925886,0.16781324
147,-0.00394887,0.23900838
148,0.31888893,0.38139865
149,0.38115722,0.5237889
150,0.544534,0.6661792
151,0.5999625,0.59498405
152,0.45737606,0.5237889
153,0.22706196,0.5237889
154,0.75761414,0.6661792
155,0.231193,-0.045772154
156,-0.18498385,-0.18816242
157,0.21612257,0.38139865
158,0.3311037,0.5237889
159,0.7686926,0.7373743
160,0.6568844,0.80856943
161,0.73006743,0.6661792
162,0.55337375,0.87976456
163,0.9393956,0.87976456
164,0.7043564,0.87976456
165,0.9372616,0.87976456
166,0.852393,0.87976456
167,0.8351001,0.87976456
168,0.87189674,0.87976456
169,0.8392515,0.45259377
170,0.5530453,0.5237889
171,0.42984504,0.6661792
172,0.60540646,0.6661792
173,0.5734177,0.59498405
174,0.78988266,1.5205208
175,0.94860554,0.87976456
176,0.8546816,0.95095974
177,0.9384798,0.95095974
178,0.99276185,1.0221548
179,0.9909947,0.95095974
180,0.99754137,0.87976456
181,0.9934214,0.95095974
182,0.99778885,0.87976456
183,0.99483997,0.5237889
184,0.5021615,0.95095974
185,0.7569933,0.6661792
186,0.85531867,0.6661792
187,0.93433243,0.87976456
188,0.9620242,1.0933499
189,0.9949692,1.0933499
190,0.9973974,1.164545
191,0.9985757,1.0933499
192,0.9975442,1.0221548
193,0.997649,0.95095974
194,0.99561995,0.80856943
195,0.9775507,0.80856943
196,0.99325645,0.95095974
197,0.9984024,1.0221548
198,0.9964737,1.0933499
199,0.9991153,1.0221548
200,0.997509,0.95095974
201,0.99722254,0.87976456
202,0.9966307,1.0221548
203,0.99908185,1.164545
204,0.99946755,1.2357403
205,0.9995559,0.87976456
206,0.91891766,0.95095974
207,0.9935855,0.80856943
208,0.99396133,0.31020352
209,0.5183379,0.5237889
210,0.8365072,0.95095974
211,0.99449307,1.164545
212,0.99781966,1.0933499
213,0.9866946,1.0933499
214,0.9975974,0.95095974
215,0.99263364,1.0933499
216,0.99813676,1.164545
217,0.9991636,1.164545
218,0.9989478,1.164545
219,0.9992518,1.164545
220,0.99922144,1.0933499
221,0.99894875,1.164545
222,0.99940634,0.80856943
223,0.6935645,0.59498405
224,0.7915328,0.87976456
225,0.9724177,0.87976456
226,0.9741906,1.0221548
227,0.9964772,1.2357403
228,0.99815434,1.3781306
229,0.998665,1.3069354
230,0.9989243,1.3069354
231,0.9990865,1.3069354
232,0.99922967,1.3069354
233,0.9993563,1.164545
234,0.99925107,0.87976456
235,0.9725395,0.95095974
236,0.9974782,1.2357403
237,0.9994134,1.4493257
238,0.99959344,1.3781306
239,0.9996573,1.3781306
240,0.99970514,1.164545
241,0.9995111,1.3781306
242,0.99970216,1.5205208
243,0.9997552,1.4493257
244,0.99975616,1.2357403
245,0.99966383,1.3069354
246,0.99972564,1.3069354
247,0.9997129,1.3069354
248,0.9997167,1.164545
249,0.99950576,1.2357403
250,0.9996468,1.164545
251,0.999483,1.0221548
252,0.9983169,1.164545
253,0.99960417,1.3781306
254,0.99972624,1.2357403
255,0.9995578,1.2357403
256,0.99966204,1.0933499
257,0.9991153,1.164545
258,0.999582,1.0933499
259,0.9992004,0.80856943
260,0.9095745,0.95095974
261,0.99304765,1.0933499
262,0.9994272,1.2357403
263,0.99949014,1.3069354
264,0.99969697,0.7373743
265,0.27347514,-0.5441381
266,0.016481338,0.025422977
267,0.5753773,0.59498405
268,0.8667053,0.95095974
269,0.9200863,0.87976456
270,0.79936004,0.7373743
271,0.6956451,0.6661792
272,0.7962173,0.80856943
273,0.64688736,0.7373743
